ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbols
map00920	Sulfur metabolism	2/72	30/5968	0.0666666666666667	5.52592592592593	2.74608200472339	0.0502503605271388	0.550830532987932	0.537737786872769	MtrunA17_Chr1g0205381/MtrunA17_Chr3g0101841	2	MtrunA17Chr1g0205381/MtrunA17Chr3g0101841
map04724	Glutamatergic synapse	2/72	31/5968	0.0645161290322581	5.34767025089606	2.68175716583062	0.0533061806117353	0.550830532987932	0.537737786872769	MtrunA17_Chr6g0479141/MtrunA17_Chr2g0295411	2	MtGS1a/MtPLD14
map04072	Phospholipase D signaling pathway	2/72	36/5968	0.0555555555555556	4.60493827160494	2.39725394222768	0.0695161738679758	0.587800851301398	0.573829353986934	MtrunA17_Chr7g0256301/MtrunA17_Chr2g0295411	2	MtrunA17Chr7g0256301/MtPLD14
map04081	Hormone signaling	1/72	6/5968	0.166666666666667	13.8148148148148	3.47022395729363	0.0702661903049591	0.587800851301398	0.573829353986934	MtrunA17_Chr4g0004881	1	MtFPN3
map00220	Arginine biosynthesis	2/72	37/5968	0.0540540540540541	4.48048048048048	2.34661386396296	0.0729311695832614	0.587800851301398	0.573829353986934	MtrunA17_Chr1g0149721/MtrunA17_Chr6g0479141	2	MtrunA17Chr1g0149721/MtGS1a
map04075	Plant hormone signal transduction	8/72	370/5968	0.0216216216216216	1.79219219219219	1.73852324729556	0.0758452711356643	0.587800851301398	0.573829353986934	MtrunA17_Chr4g0070241/MtrunA17_Chr1g0174701/MtrunA17_Chr1g0168161/MtrunA17_Chr7g0262471/MtrunA17_Chr5g0422771/MtrunA17_Chr6g0479141/MtrunA17_Chr4g0036891/MtrunA17_Chr1g0148031	8	MtrunA17Chr4g0070241/MtrunA17Chr1g0174701/MtETR3/MtrunA17Chr7g0262471/MtrunA17Chr5g0422771/MtGS1a/MtrunA17Chr4g0036891/MtAHA8
map05231	Choline metabolism in cancer	2/72	40/5968	0.05	4.14444444444445	2.20488200989738	0.0834898311065095	0.596586422308075	0.582406099876304	MtrunA17_Chr7g0256301/MtrunA17_Chr2g0295411	2	MtrunA17Chr7g0256301/MtPLD14
map04666	Fc gamma R-mediated phagosome formation	2/72	42/5968	0.0476190476190476	3.94708994708995	2.11788679401473	0.0907733052261679	0.596586422308075	0.582406099876304	MtrunA17_Chr7g0256301/MtrunA17_Chr2g0295411	2	MtrunA17Chr7g0256301/MtPLD14
map05230	Central carbon metabolism in cancer	2/72	45/5968	0.0444444444444444	3.68395061728395	1.99698793548476	0.102032457656143	0.596586422308075	0.582406099876304	MtrunA17_Chr2g0330871/MtrunA17_Chr3g0115581	2	MtrunA17Chr2g0330871/MtrunA17Chr3g0115581
map04970	Salivary secretion	1/72	9/5968	0.111111111111111	9.20987654320988	2.72355856342625	0.103550309739056	0.596586422308075	0.582406099876304	MtrunA17_Chr1g0157251	1	MtrunA17Chr1g0157251
